strategy,s,l,b,c,d,contrarian,mean_excess_return_bps,sharpe_ratio,sharpe_ratio_diff,n_trades,total_return,benchmark_return,betc,n,x,v,k
"OBV(7,15,0.025,0,0)",7.0,15.0,0.025,0,0.0,False,-0.05624684230313138,-0.13072888925546422,-0.6585809994358844,3395,-0.704201306829021,2.8433939062298514,-1.0371153266995892,,,,
"OBV(5,10,0.025,1,0)",5.0,10.0,0.025,1,0.0,False,-0.05629927386464797,-0.1313427975790044,-0.6591949077594246,3911,-0.707508265033839,2.8433939062298514,-0.9045106942391192,,,,
"OBV(5,10,0.025,1,1)",5.0,10.0,0.025,1,1.0,False,-0.05641601587517077,-0.13270970121796363,-0.6605618113983839,3575,-0.7148714054473321,2.8433939062298514,-0.9998201474787861,,,,
"OBV(5,10,0.025,0,1)",5.0,10.0,0.025,0,1.0,False,-0.05641601587517077,-0.13270970121796363,-0.6605618113983839,3575,-0.7148714054473321,2.8433939062298514,-0.9998201474787861,,,,
"CBc(30,0.01,0,1)",,,0.0,1,,True,-0.05655801322388824,-0.1343726591327572,-0.6622247693131774,9092,-0.7238274480259057,2.8433939062298514,-0.39805732953470396,30.0,0.01,,
"SR(5,0.0025,0,2)",,,0.0025,0,2.0,False,-0.05663555726397729,-0.13528046871071714,-0.6631325788911373,16882,-0.7287182979679976,2.8433939062298514,-0.215827004492358,5.0,,,
"SR(5,0.0025,1,2)",,,0.0025,1,2.0,False,-0.05663555726397729,-0.13528046871071714,-0.6631325788911373,16882,-0.7287182979679976,2.8433939062298514,-0.215827004492358,5.0,,,
"SR(5,0.0025,2,2)",,,0.0025,2,2.0,False,-0.05663555726397729,-0.13528046871071714,-0.6631325788911373,16882,-0.7287182979679976,2.8433939062298514,-0.215827004492358,5.0,,,
"OBV(2,5,0.025,1,0)",2.0,5.0,0.025,1,0.0,False,-0.056746844996149,-0.13658329849309753,-0.6644354086735178,5783,-0.7357374266827587,2.8433939062298514,-0.6361208945899695,,,,
"CBc(30,0.01,0,0)",,,0.0,0,,True,-0.0567701386123707,-0.13685638983137893,-0.6647085000117992,9092,-0.7372065993157322,2.8433939062298514,-0.40541497982607355,30.0,0.01,,
"MA(5,15,0.01,2,1)",5.0,15.0,0.01,2,1.0,False,-0.056815464615274064,-0.13744676650523882,-0.665298876685659,1525,-0.7400653964382526,2.8433939062298514,-2.426443922748369,,,,
"MA(5,15,0.01,0,1)",5.0,15.0,0.01,0,1.0,False,-0.056815464615274064,-0.13744676650523882,-0.665298876685659,1525,-0.7400653964382526,2.8433939062298514,-2.426443922748369,,,,
"MA(5,15,0.01,1,1)",5.0,15.0,0.01,1,1.0,False,-0.056815464615274064,-0.13744676650523882,-0.665298876685659,1525,-0.7400653964382526,2.8433939062298514,-2.426443922748369,,,,
"OBV(7,15,0.1,2,2)",7.0,15.0,0.1,2,2.0,False,-0.056846955348100414,-0.13775547320304612,-0.6656075833834664,1014,-0.7420515767900031,2.8433939062298514,-3.659031443737688,,,,
"OBV(7,15,0.1,1,2)",7.0,15.0,0.1,1,2.0,False,-0.056846955348100414,-0.13775547320304612,-0.6656075833834664,1014,-0.7420515767900031,2.8433939062298514,-3.659031443737688,,,,
"OBV(7,15,0.1,0,2)",7.0,15.0,0.1,0,2.0,False,-0.056846955348100414,-0.13775547320304612,-0.6656075833834664,1014,-0.7420515767900031,2.8433939062298514,-3.659031443737688,,,,
"OBV(2,7,0.025,2,0)",2.0,7.0,0.025,2,0.0,False,-0.05740492899113807,-0.14428864323519813,-0.6721407534156183,5909,-0.7772440346063099,2.8433939062298514,-0.6576781474076069,,,,
"OBV(2,7,0.025,0,0)",2.0,7.0,0.025,0,0.0,False,-0.05769713227363031,-0.1477099801687654,-0.6755620903491857,6055,-0.7956738508193326,2.8433939062298514,-0.6570386877120831,,,,
"OBV(5,10,0.025,0,0)",5.0,10.0,0.025,0,0.0,False,-0.057750073008713904,-0.1483298503229262,-0.6761819605033464,3941,-0.7990129235684515,2.8433939062298514,-1.0137185023705297,,,,
"OBV(2,15,0.05,0,2)",2.0,15.0,0.05,0,2.0,False,-0.05819647336242414,-0.1535566511267844,-0.6814087613072046,2693,-0.8271682420376278,2.8433939062298514,-1.5357746788667432,,,,
"OBV(2,15,0.05,1,2)",2.0,15.0,0.05,1,2.0,False,-0.05819647336242414,-0.1535566511267844,-0.6814087613072046,2693,-0.8271682420376278,2.8433939062298514,-1.5357746788667432,,,,
"OBV(2,15,0.05,2,2)",2.0,15.0,0.05,2,2.0,False,-0.05819647336242414,-0.1535566511267844,-0.6814087613072046,2693,-0.8271682420376278,2.8433939062298514,-1.5357746788667432,,,,
"OBV(7,15,0.1,1,1)",7.0,15.0,0.1,1,1.0,False,-0.058202528308308334,-0.15362753913320315,-0.6814796493136234,1084,-0.8275501389789413,2.8433939062298514,-3.817113187172238,,,,
"OBV(7,15,0.1,0,1)",7.0,15.0,0.1,0,1.0,False,-0.058202528308308334,-0.15362753913320315,-0.6814796493136234,1084,-0.8275501389789413,2.8433939062298514,-3.817113187172238,,,,
"OBV(7,15,0.1,2,1)",7.0,15.0,0.1,2,1.0,False,-0.058286120058236496,-0.1546062945697266,-0.6824584047501469,1084,-0.832822429471235,2.8433939062298514,-3.841431870254774,,,,
"OBV(2,3,0.025,0,1)",2.0,3.0,0.025,0,1.0,False,-0.058377847692937156,-0.1556803111039723,-0.6835324212843925,2752,-0.8386078656743117,2.8433939062298514,-1.5236334768792,,,,
"OBV(2,3,0.025,1,1)",2.0,3.0,0.025,1,1.0,False,-0.058377847692937156,-0.1556803111039723,-0.6835324212843925,2752,-0.8386078656743117,2.8433939062298514,-1.5236334768792,,,,
"MA(5,7,0.001,2,1)",5.0,7.0,0.001,2,1.0,False,-0.058427035569872825,-0.15625738346937504,-0.6841094936497952,22461,-0.8417102385296109,2.8433939062298514,-0.18737149693460017,,,,
"OBV(5,10,0.025,2,0)",5.0,10.0,0.025,2,0.0,False,-0.05854176779506891,-0.15759961166952222,-0.6854517218499424,3901,-0.8489466179639555,2.8433939062298514,-1.0881140963393432,,,,
"OBV(7,15,0.025,0,2)",7.0,15.0,0.025,0,2.0,False,-0.05867967603225126,-0.15921435382450627,-0.6870664640049264,3033,-0.857644752508697,2.8433939062298514,-1.4138555102352406,,,,
"OBV(7,15,0.025,2,2)",7.0,15.0,0.025,2,2.0,False,-0.05867967603225126,-0.15921435382450627,-0.6870664640049264,3033,-0.857644752508697,2.8433939062298514,-1.4138555102352406,,,,
"OBV(7,15,0.025,1,2)",7.0,15.0,0.025,1,2.0,False,-0.05867967603225126,-0.15921435382450627,-0.6870664640049264,3033,-0.857644752508697,2.8433939062298514,-1.4138555102352406,,,,
"OBV(2,5,0.1,1,1)",2.0,5.0,0.1,1,1.0,False,-0.05934860246525324,-0.16704664262463112,-0.6948987528050513,1442,-0.8998352135983544,2.8433939062298514,-3.1200943606045572,,,,
"OBV(2,5,0.1,0,1)",2.0,5.0,0.1,0,1.0,False,-0.05934860246525324,-0.16704664262463112,-0.6948987528050513,1442,-0.8998352135983544,2.8433939062298514,-3.1200943606045572,,,,
"OBV(2,15,0.05,2,0)",2.0,15.0,0.05,2,0.0,False,-0.05963274830578214,-0.17037363727567348,-0.6982257474560937,3297,-0.917756831637609,2.8433939062298514,-1.3918059321164833,,,,
"OBV(2,5,0.1,2,1)",2.0,5.0,0.1,2,1.0,False,-0.05964617347767839,-0.17053082935485714,-0.6983829395352774,1438,-0.918603582736932,2.8433939062298514,-3.1940319288488594,,,,
"OBV(2,5,0.05,1,1)",2.0,5.0,0.05,1,1.0,False,-0.059841414871377514,-0.17281686345845662,-0.7006689736388768,2636,-0.930917828396184,2.8433939062298514,-1.7657773679745523,,,,
