period,train,test,strategy,is_return_bps,is_sharpe,oos_return_bps,oos_sharpe,oos_n_trades,oos_total_return_pct,oos_bh_return_pct,oos_profitable
Period 1,2017-01 to 2018-12,2019-01 to 2019-12,"MAc(2,10,0.01,0,0)",0.09445139423759027,0.9251156572429262,-0.02969585813943857,-0.41935600989337063,237,-26.751148694302884,94.5590379206287,False
Period 2,2017-01 to 2019-12,2020-01 to 2020-12,"MAc(2,10,0.01,0,0)",0.0544450592249687,0.5863375706739097,0.061165260290861216,0.8200390163696997,245,90.21203092122066,305.93877493991437,True
Period 3,2017-01 to 2020-12,2021-01 to 2021-12,"MAc(7,10,0.01,0,0)",0.06624473524990616,0.7486599630956765,0.11850114195715927,1.3084051369556526,31,246.3470674270551,62.59153408877827,True
Period 4,2017-01 to 2021-12,2022-01 to 2022-12,"MAc(7,10,0.01,0,0)",0.07680484647779613,0.8624585328215432,0.10048626999668235,1.737542280105498,11,186.74343224076128,-64.13878204934326,True
