period,train,test,strategy,is_return_bps,is_sharpe,oos_return_bps,oos_sharpe,oos_n_trades,oos_total_return_pct,oos_bh_return_pct,oos_profitable
Period 1,2017-01 to 2018-12,2019-01 to 2019-12,"MAc(7,10,0.01,0,0)",0.028653456767467608,0.28130539387829734,0.0641686418493118,0.9100827168432475,21,95.95065987785489,94.5590379206287,True
Period 2,2017-01 to 2019-12,2020-01 to 2020-12,"MAc(7,10,0.01,0,0)",0.04231994724227146,0.45661769697317145,0.15570461678885,2.1236609092104364,23,413.8529410809964,305.93877493991437,True
Period 3,2017-01 to 2020-12,2021-01 to 2021-12,"MAc(7,10,0.01,0,0)",0.06624473524990616,0.7486599630956765,0.11850114195715927,1.3084051369556526,31,246.3470674270551,62.59153408877827,True
Period 4,2017-01 to 2021-12,2022-01 to 2022-12,"MAc(7,10,0.01,0,0)",0.07680484647779613,0.8624585328215432,0.10048626999668235,1.737542280105498,11,186.74343224076128,-64.13878204934326,True
