quarter,oos_return_pct,oos_sharpe,oos_n_trades,oos_accuracy,oos_profitable,bandwidth_bps,tc_bps
Q1-2019,17.86419913898576,1.3421027008431037,6,0.9664104864822689,True,25.0,10.0
Q2-2019,97.10658451952403,2.4415342863434346,130,0.8178696809536669,True,25.0,10.0
Q3-2019,16.318674801395616,0.6019988365603075,84,0.8297531382349574,True,25.0,10.0
Q4-2019,-25.179826533309445,-1.4981122807991825,35,0.90617726735091,False,25.0,10.0
Q1-2020,-36.10829836261525,-1.3195018106200536,159,0.8187955711585201,False,25.0,10.0
Q2-2020,97.6983135006188,3.3291422489777847,37,0.8753520311716368,True,25.0,10.0
Q3-2020,-0.9246285921252206,-0.0622014278213051,7,0.9352130947384486,False,25.0,10.0
Q4-2020,132.3406047624867,4.222090101544941,26,0.8589797397840436,True,25.0,10.0
Q1-2021,-10.374426424618965,-0.31727924554332204,186,0.6571606912963758,False,25.0,10.0
Q2-2021,-38.585393454686354,-1.442332653838645,142,0.7111994136028703,False,25.0,10.0
Q3-2021,30.25060427405961,1.19222636080651,35,0.8495554962035942,True,25.0,10.0
Q4-2021,17.152115123078527,0.7874219065200517,30,0.860124384753329,True,25.0,10.0
Q1-2022,-16.985065886951656,-0.9165202166687673,33,0.8591269067218039,False,25.0,10.0
Q2-2022,-46.00292574971895,-2.6965549089144893,57,0.8348829134678446,False,25.0,10.0
Q3-2022,8.348256674630239,0.4221180079524183,12,0.8723720859246824,True,25.0,10.0
Q4-2022,-14.397485456193737,-1.2035327369550044,23,0.9474989507421114,False,25.0,10.0
