strategy,s,l,b,c,d,contrarian,mean_excess_return_bps,sharpe_ratio,sharpe_ratio_diff,n_trades,total_return,benchmark_return,betc,n,x,v,k,net_excess_return_bps
"MAc(3,10,0.01,2,2)",3.0,10.0,0.01,2,2.0,True,0.0195629356445692,0.7569850245726126,0.2291329143921924,1623,4.077265426910562,2.8433939062298514,12.560891641745416,,,,,-0.031902056745080724
"MAc(3,10,0.01,0,2)",3.0,10.0,0.01,0,2.0,True,0.0195629356445692,0.7569850245726126,0.2291329143921924,1623,4.077265426910562,2.8433939062298514,12.560891641745416,,,,,-0.031902056745080724
"MAc(10,15,0.01,1,0)",10.0,15.0,0.01,1,0.0,True,0.0112090113280046,0.6599016953914738,0.1320495852110536,258,3.5503675478086305,2.8433939062298514,68.8055726319502,,,,,0.003027884996193336
"MAc(10,15,0.01,2,0)",10.0,15.0,0.01,2,0.0,True,0.0112090113280046,0.6599016953914738,0.1320495852110536,258,3.5503675478086305,2.8433939062298514,68.8055726319502,,,,,0.003027884996193336
"MAc(10,15,0.01,0,0)",10.0,15.0,0.01,0,0.0,True,0.0112090113280046,0.6599016953914738,0.1320495852110536,258,3.5503675478086305,2.8433939062298514,68.8055726319502,,,,,0.003027884996193336
"MAc(2,7,0.01,2,2)",2.0,7.0,0.01,2,2.0,True,0.0108720050403285,0.6552142551904024,0.1273621450099822,1621,3.529111920932952,2.8433939062298514,10.885601236683996,,,,,-0.040529567765353894
"MAc(2,7,0.01,0,2)",2.0,7.0,0.01,0,2.0,True,0.0108720050403285,0.6552142551904024,0.1273621450099822,1621,3.529111920932952,2.8433939062298514,10.885601236683996,,,,,-0.040529567765353894
"MAc(2,7,0.01,1,2)",2.0,7.0,0.01,1,2.0,True,0.0108720050403285,0.6552142551904024,0.1273621450099822,1621,3.529111920932952,2.8433939062298514,10.885601236683996,,,,,-0.040529567765353894
"MAc(3,5,0.01,1,2)",3.0,5.0,0.01,1,2.0,True,0.0018186396770863,0.5498091089258954,0.0219569987454751,258,2.958098966079077,2.8433939062298514,57.32749934261777,,,,,-0.006362486654724965
"MAc(3,5,0.01,0,2)",3.0,5.0,0.01,0,2.0,True,0.0018186396770863,0.5498091089258954,0.0219569987454751,258,2.958098966079077,2.8433939062298514,57.32749934261777,,,,,-0.006362486654724965
"MAc(3,5,0.01,2,2)",3.0,5.0,0.01,2,2.0,True,0.0018186396770863,0.5498091089258954,0.0219569987454751,258,2.958098966079077,2.8433939062298514,57.32749934261777,,,,,-0.006362486654724965
"MAc(10,15,0.01,0,2)",10.0,15.0,0.01,0,2.0,True,0.0017359012890464,0.5488482192022415,0.0209961090218212,258,2.952880498742462,2.8433939062298514,57.22636625469888,,,,,-0.006445225042764864
"MAc(10,15,0.01,1,2)",10.0,15.0,0.01,1,2.0,True,0.0017359012890464,0.5488482192022415,0.0209961090218212,258,2.952880498742462,2.8433939062298514,57.22636625469888,,,,,-0.006445225042764864
"MAc(10,15,0.01,2,2)",10.0,15.0,0.01,2,2.0,True,0.0017359012890464,0.5488482192022415,0.0209961090218212,258,2.952880498742462,2.8433939062298514,57.22636625469888,,,,,-0.006445225042764864
"MAc(10,15,0.01,0,1)",10.0,15.0,0.01,0,1.0,True,0.0009118013500397,0.5391871257639856,0.0113350155835654,258,2.9009029497994256,2.8433939062298514,56.21904941471755,,,,,-0.007269324981771565
