strategy,s,l,b,c,d,contrarian,mean_excess_return_bps,sharpe_ratio,sharpe_ratio_diff,n_trades,total_return,benchmark_return,betc,n,x,v,k
"BB(3,0.25,0,0)",,,,0,0.0,False,0.6833893732814375,8.532441561714188,8.004589451533768,224659,45.94606011889934,2.8433939062298514,1.0225733248812499,3.0,,,0.25
"BB(3,0.5,0,0)",,,,0,0.0,False,0.6400624243190904,8.024640692086892,7.496788581906472,201122,43.21334712664109,2.8433939062298514,1.0743068169230887,3.0,,,0.5
"BB(3,0.25,1,0)",,,,1,0.0,False,0.5713723794957721,7.219698495911028,6.691846385730607,192792,38.88093548854924,2.8433939062298514,1.0083648566472998,3.0,,,0.25
"BB(3,0.5,1,0)",,,,1,0.0,False,0.5502715505404109,6.972456552271894,6.444604442091474,182104,37.550066114759595,2.8433939062298514,1.031006076603468,3.0,,,0.5
"MAc(2,3,0,0,0)",2.0,3.0,0.0,0,0.0,True,0.533469518185772,6.775593043270378,6.247740933089958,250922,36.490330010291046,2.8433939062298514,0.7271249633410193,,,,
"BB(3,1,0,0)",,,,0,0.0,False,0.5212163114887962,6.632031602060078,6.104179491879657,118500,35.71749698282006,2.8433939062298514,1.5070673832413528,3.0,,,1.0
"BB(3,1,1,0)",,,,1,0.0,False,0.510437986519456,6.5057531410206115,5.977901030840191,117850,35.03768754818633,2.8433939062298514,1.4865374437075234,3.0,,,1.0
"MAc(2,3,0.00025,0,0)",2.0,3.0,0.00025,0,0.0,True,0.48914521949356665,6.256296183368507,5.728444073188086,154262,33.694712275606136,2.8433939062298514,1.092126132022343,,,,
"BB(5,0.25,0,0)",,,,0,0.0,False,0.44882373659228353,5.783938007874514,5.256085897694094,152439,31.151559738204696,2.8433939062298514,1.0217713228965257,5.0,,,0.25
"SRc(3,0.00025,2,0)",,,0.00025,2,0.0,True,0.4394042414743755,5.673595722802317,5.145743612621897,106470,30.557454284077515,2.8433939062298514,1.4350264996749091,3.0,,,
"SRc(3,0,2,0)",,,0.0,2,0.0,True,0.43260020299329344,5.593892832397862,5.0660407222174415,119968,30.128310649402554,2.8433939062298514,1.2556811253585354,3.0,,,
